Genus,Species,q,r,Vr,CVN,MA_Yr,RW-Yr,EX_Yr,RL_Yr,GL_Yr,TL_Yr,MA_G,RW_G,EX_G,RL_G,GL_G,TL_G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Aythya,affinis,47,-0.009930306,0.023498421,0.192551652,4.984586603,6.590820148,7.391681862,4.576670383,4.430397531,5.105617377,5.113948793,6.686845885,7.083357311,4.748381782,4.499377966,5.257054074,0,6.040254711,0,0.4,0.261904762,0.833333333,820,420,,2,14,120,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Aythya,americana,47,0.000959314,0.040837684,0.247997765,4.861927721,7.259257098,7.198112235,4.862224826,4.563637587,4.730906668,4.990797847,7.189567199,7.09793881,4.986568829,4.729655261,4.835534079,0,6.173786104,0.25,0.4,0.119047619,0.833333333,1045,480,,2,12,180,,,4,2,1,1,2,1,1,2,,15,2,3,1,2,LC,1
Aythya,collaris,19,-0.09430313,1.382117624,0.793783851,8.761722462,20.72326584,20.72326584,9.420715075,8.508317028,7.104955827,10.40727178,20.72326584,20.72326584,12.02193374,9.436921956,7.558135959,0,6.063785209,0,0.4,0.119047619,0.833333333,705,430,,2,12,180,,,4,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Aythya,fuligula,35,0.031704632,0.078538368,0.261186948,4.787502491,8.585885623,6.412273484,4.796386738,4.762298133,4.750585461,4.882733409,8.468996103,7.292707295,4.890856263,4.856924017,4.847520415,0,6.086774727,0,0.2,0.261904762,0.833333333,1200,440,,2,12,168,,,4,2,1,0,2,1,1,1,,10,2,4,1,2,LC,1
Aythya,valisineria,47,-0.004074318,0.048291297,0.200071837,4.559694489,7.517782231,7.897966858,4.630384537,4.507381252,4.554654964,4.712039205,8.996562853,9.281837792,4.808101217,4.638592747,4.711091334,0,6.272877007,0,0.4,0.261904762,0.833333333,1219,530,,2,24,180,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Branta,bernicla bernicla,13,0.090040375,0.063128132,0.39987483,6.851635496,8.334470585,4.65402206,5.718135941,5.753321527,5.714475134,8.06755833,9.915764726,5.471821527,6.306835886,6.289703027,6.347961249,0,6.476972363,0.25,0.6,0.119047619,0.833333333,1725,650,,2,24,240,,,1,2,1,1,3,1,2,2,,6,2,3,1,2,LC,1
Branta,bernicla nigricans,46,-0.010258918,0.655871668,0.598193643,6.068832605,16.68545648,17.48015542,7.275824304,5.995766446,5.999963803,6.588701461,20.72326584,20.72326584,8.977992624,6.45696686,6.429052871,0,7.047517221,0,0.6,0.119047619,0.833333333,1300,640,1150,2,24,240,,,1,2,1,1,3,1,2,1,,5,2,3,1,2,LC,1
Branta,canadensis,20,-1.18919E-14,0.028123577,0.173265401,5.668199399,6.790508895,6.787140448,4.569699594,4.454502843,4.517074435,6.277744272,7.883713685,7.805386365,4.763297469,4.541210087,4.613896417,0,7.313220387,0,0.4,0.119047619,0.833333333,3564,890,1500,2,24,240,,,1,2,1,1,2,1,1,1,,5,2,3,1,2,LC,1
Bucephala,albeola,37,0.052673891,0.678538234,0.616811025,6.608141923,17.10505211,13.1689712,7.636884977,6.019414579,6.346676879,7.319808528,19.68978101,16.83266061,9.173966519,6.441792991,6.770290515,0,5.828945618,0.25,0.4,0.261904762,0.833333333,404,340,,2,18,120,,,4,2,1,1,2,1,1,2,,9,2,4,1,2,LC,1
Chen,caerulescens atlanticus,15,0.039185778,0.093905055,0.335341614,6.588592029,8.966426761,6.408822732,4.959324665,4.854150831,5.162634549,7.615451084,10.95270782,8.288560677,5.131997372,5.013656765,5.39512999,0,7.303170051,0,0.4,0,0.833333333,2631,750,1485,2,24,240,,,1,1,1,1,2,1,1,1,,5,2,3,1,2,LC,1
Chen,caerulescens caerulescens,26,0.068815322,0.013801081,0.602651244,4.508196071,6.343310128,4.123588749,4.950010714,4.784531121,5.102607422,4.786237245,7.118928857,4.391970511,5.18611224,5.016794431,5.466581589,0,6.551080335,0.25,0.4,0.119047619,0.833333333,2350,700,,2,24,240,,,1,2,1,1,2,1,1,2,,6,2,3,1,2,LC,1
Cygnus,buccinator,84,-0.023181896,2.45257233,1.062398886,8.801714107,20.72326584,20.72326584,4.447526297,8.796365008,8.979631999,10.2465067,20.72326584,20.72326584,4.534246194,10.2463606,10.28142473,1,7.408530567,0.25,0.8,0.119047619,0.833333333,10000,1650,,2,36,280,,,4,2,1,1,3,2,2,2,,6,1,3,1,2,CD,2
Cygnus,olor,114,0.006348566,0.005868901,0.252005273,4.624236288,5.452351224,5.022948457,4.554650087,4.484201737,4.551806953,4.918190017,6.421952994,5.709727616,4.799362385,4.651561502,4.77857407,1,7.783224016,0,0.4,0.738095238,0.833333333,10735,1400,2400,2,36,280,,,4,3,1,1,2,1,1,1,,8,2,4,2,1,LC,2
Mergus,cucullatus,13,0.068536379,0.318174632,0.490316823,8.541900378,12.9559714,8.42090864,5.672914264,6.269928735,5.561570192,10.43107663,16.74598484,12.14850624,6.010155196,6.902862443,5.812543034,0,6.363028104,0.25,0.4,0.380952381,0.833333333,610,450,580,2,24,120,,,4,3,1,1,2,1,2,2,,12,2,4,1,2,LC,1
Mergus,serrator,13,0.003441223,0.893971728,0.570553459,6.837350075,18.88636446,18.51344539,7.053309956,5.928013333,6.044030814,7.136199317,19.29557219,18.21222591,7.346339257,6.229532011,6.376815381,0,6.65929392,0,0.2,0.380952381,0.833333333,1022,550,780,2,12,108,,,4,3,1,1,1,1,2,1,,8,2,4,1,2,LC,1
Oxyura,jamaicensis,37,-0.010012988,0.783798452,0.584505463,6.09722229,18.03467209,18.89303117,8.272126347,6.044660323,6.203837388,6.43492363,17.67365835,17.94304538,10.15526838,6.387461843,6.448234267,0,6.354370041,0,0.4,0.380952381,0.833333333,545,380,575,2,12,120,,,4,3,1,1,2,1,1,1,,8,2,4,1,1,LC,1
Somateria,mollissima,10,-0.028149275,0.101166497,0.215676479,6.932521352,9.112244345,11.62047559,4.703160546,4.722279345,5.085589921,6.838131418,9.053084901,9.931582608,4.831903413,4.815975905,5.274804778,0,6.405228458,0,0.2,0.380952381,0.833333333,2067,605,,2,12,180,,,3,3,1,1,1,1,1,1,,5,2,4,1,2,LC,1
Selasphorus,platycercus,9,-0.039630549,0.436553242,0.461880215,12.30625135,14.37216452,17.79506172,5.981959589,5.626926191,5.449516555,11.36183842,13.28217374,14.57555317,6.431998357,5.817250539,5.660594236,0,4.605170186,0.25,0.2,0.452380952,0.5,5,100,,2,10,96,,,4,3,1,1,1,1,2,2,,4,2,2,2,2,LC,1
Fratercula,arctica,10,-0.094160854,0.009636106,0.367042165,11.84868154,6.368740593,14.56580415,8.658852663,4.451799094,4.68495307,14.3516628,7.864780652,17.75995405,10.59373096,4.577896822,4.946787478,0,6.309918278,0.25,0.2,0.880952381,0.666666667,381,310,550,2,36,240,,,1,3,1,1,1,1,1,2,,1,2,5,2,2,LC,1
Charadrius,hiaticula,28,0.002858668,0.057457188,0.256643216,5.046043039,7.843103772,7.682992486,4.787641713,4.854866206,4.808163355,5.142130183,7.759007716,7.689855253,4.887962869,4.980022246,4.897776158,0,6.263398263,0,0.4,0.404761905,0.666666667,64,190,525,2,12,120,,,4,2,1,1,2,1,2,1,,3,2,5,1,2,LC,1
Pluvialis,squatarola,20,0.089587973,0.032149013,0.517918007,5.054027074,7.27600633,4.280077244,5.072189085,5.084052131,5.145094324,5.278890443,7.132452411,4.687423726,5.216276934,5.258310806,5.295765861,0,6.646390515,0,0,0.261904762,0.666666667,220,280,770,2,12,240,,,4,2,1,0,1,1,1,1,,4,2,4,1,2,LC,1
Vanellus,vanellus,45,-0.039816877,0.295527814,0.644364701,11.58552143,12.68413324,15.87452251,8.822350159,8.15640934,7.41474971,11.54532772,12.50810339,14.27745378,9.685341782,9.036089045,7.991152091,0,6.745236349,0,0.4,0.404761905,0.666666667,219,300,850,2,12,216,,,4,2,1,1,2,1,1,1,,4,2,5,1,2,LC,1
Haematopus,ostralegus,45,0.00322906,0.009897563,0.129035074,4.588199041,5.81043638,5.530516012,4.374545485,4.351065156,4.446778526,4.858280157,6.894552159,6.714396377,4.473009814,4.449393947,4.654902375,0,6.086774727,0,0.4,0.404761905,0.666666667,526,440,,2,36,240,,,4,2,1,1,2,1,1,1,,3,2,5,1,2,LC,1
Catharacta,maccormicki,33,0.002799192,0.019899426,0.151459543,4.736397821,6.42833229,6.184363816,4.4641123,4.455928143,4.436790772,5.39032915,9.662746146,9.412727828,4.656055632,4.694110224,4.569406954,0,7.207859871,0,0.2,0.761904762,0.833333333,1156,535,1350,2,72,180,,,2,2,1,0,2,1,3,1,,2,2,5,2,2,LC,1
Rissa,tridactyla,35,0.081366061,0.046072715,0.473812945,4.707149247,7.674497786,4.494690443,4.69788072,4.706325216,4.719894979,4.82764716,7.490362405,5.148011173,4.790389037,4.828497276,4.825075061,0,6.845879875,0,0.2,0.404761905,0.666666667,407,390,940,2,12,240,,,1,2,1,0,2,1,1,1,,2,2,5,1,2,LC,1
Arenaria,interpres,20,0.021596584,0.012351725,0.161182407,4.831251563,6.004704098,4.704374503,4.378422708,4.339644597,4.362270636,5.00956323,6.260384737,5.248170511,4.457184306,4.419701584,4.443665491,0,6.282266747,0,0.2,0.404761905,0.666666667,115,230,535,2,18,240,,,4,2,1,1,1,1,1,1,,4,2,5,1,2,LC,1
