AVAILABILITY,DATASOURCEID,MainID
"Restricted",512,8910
"Restricted",512,8911
"Restricted",512,8912
"Restricted",512,8913
"Restricted",512,8914
"Restricted",512,8915
"Restricted",512,8916
"Restricted",512,8917
"Restricted",512,8918
"Restricted",512,8919
"Restricted",512,8920
"Restricted",512,8921
"Restricted",512,8922
"Restricted",512,8923
"Restricted",512,8924
"Restricted",512,8925
"Restricted",512,8926
"Restricted",512,8927
"Restricted",512,8928
"Restricted",512,8929
"Restricted",512,8930
"Restricted",512,8931
"Restricted",512,8932
"Restricted",512,8933
"Restricted",512,8934
"Restricted",512,8935
"Restricted",512,8936
"Restricted",512,8937
"Restricted",512,8938
"Restricted",512,8939
"Restricted",512,8940
"Restricted",512,8941
"Restricted",512,8942
"Restricted",512,8943
"Restricted",512,8944
"Restricted",512,8945
"Restricted",512,8946
"Restricted",512,8947
"Restricted",512,8948
"Restricted",512,8949
"Restricted",512,8950
"Restricted",512,8951
"Restricted",512,8952
"Restricted",512,8953
"Restricted",512,8954
"Restricted",512,8955
"Restricted",512,8956
"Restricted",512,8957
"Restricted",512,8958
"Restricted",512,8959
"Restricted",512,8960
"Restricted",512,8961
"Restricted",512,8962
"Restricted",512,8963
"Restricted",512,8964
"Restricted",512,8965
"Restricted",512,8966
"Restricted",512,8967
"Restricted",512,8968
"Restricted",512,8970
"Restricted",512,8971
"Restricted",512,8972
"Restricted",512,8973
"Restricted",512,8974
"Restricted",512,8975
"Restricted",512,8976
"Restricted",512,8977
"Restricted",512,8978
"Restricted",512,8979
"Restricted",512,8980
"Restricted",512,8981
"Restricted",512,8982
"Restricted",512,8983
"Restricted",512,8984
"Restricted",512,8985
"Restricted",512,8986
"Restricted",512,8987
"Restricted",512,8988
"Restricted",512,8989
"Restricted",512,8990
"Restricted",512,8991
"Restricted",512,8992
"Restricted",512,8993
"Restricted",512,8994
"Restricted",512,8995
"Restricted",512,8996
"Restricted",512,8997
"Restricted",512,8998
"Restricted",512,8999
"Restricted",512,9000
"Restricted",512,9001
"Restricted",512,9002
"Restricted",512,9003
"Restricted",512,9004
"Restricted",512,9005
"Restricted",512,9006
"Restricted",512,9007
"Restricted",512,9008
"Restricted",512,9009
"Restricted",512,9010
"Restricted",512,9011
"Restricted",512,9012
"Restricted",512,9013
"Restricted",512,9014
"Restricted",512,9015
"Restricted",512,9016
"Restricted",512,9017
"Restricted",512,9018
"Restricted",512,9019
"Restricted",512,9020
"Restricted",512,9021
"Restricted",512,9022
"Restricted",512,9023
"Restricted",512,9024
"Restricted",512,9025
"Restricted",512,9026
